date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-05-18,38.23,42.05,45.0,38.0,580590000.0,2778.8,7427.7,1295.22,5267.62,8611.31,16152.75,747.21,18951.85,2344.52,91.48,147.76,25.1,81.29,213.85,300.49,29.27,-0.12493486363779414
2012-05-21,34.03,36.53,36.66,33.0,168310000.0,2847.2,7543.0,1315.99,5304.48,8633.89,16183.26,764.64,18922.32,2348.3,92.57,152.38,22.01,81.08,218.11,307.35,29.75,-0.35428280228128034
2012-05-22,31.0,32.61,33.59,30.94,102050000.0,2839.1,7542.6,1316.63,5403.28,8729.29,16026.41,759.63,19039.15,2373.31,91.66,150.78,22.48,81.49,215.33,300.69,29.76,-0.3255687270313501
2012-05-23,32.0,31.37,32.5,31.36,73720000.0,2850.1,7540.9,1318.86,5266.41,8556.6,15948.1,765.17,18786.19,2363.44,89.9,156.88,22.33,82.09,217.28,305.03,29.11,-0.17285927943885326
2012-05-24,33.03,32.95,33.21,31.77,50280000.0,2839.4,7552.4,1320.68,5350.05,8563.38,16222.3,766.57,18666.4,2350.97,90.66,157.06,21.54,82.35,215.24,302.12,29.07,0.06947171315550804
2012-05-25,31.91,32.9,32.95,31.11,37190000.0,2837.5,7534.3,1317.82,5351.53,8580.39,16217.82,766.41,18713.41,2333.55,90.86,157.83,21.76,82.4,212.89,296.05,29.06,0.44816624745726585
2012-05-29,28.84,31.48,31.69,28.65,78060000.0,2871.0,7615.0,1332.42,5391.14,8657.08,16438.58,777.16,19055.46,2389.64,90.76,155.66,21.03,82.48,214.75,297.46,29.56,-0.07321510215600331
2012-05-30,28.19,28.7,29.55,27.86,57270000.0,2837.4,7471.4,1313.32,5297.28,8633.19,16312.15,762.0,18690.22,2384.67,87.82,155.36,24.14,83.02,209.23,294.4,29.34,0.3973614275455475
2012-05-31,29.6,28.55,29.67,26.83,111640000.0,2827.3,7464.0,1310.33,5320.86,8542.73,16218.53,761.82,18629.52,2372.23,86.53,153.8,24.06,83.04,212.91,290.71,29.19,-0.31680716276168824
2012-06-01,27.72,28.89,29.15,27.39,41860000.0,2747.5,7292.2,1278.04,5260.19,8440.25,15965.16,737.42,18558.34,2373.44,83.23,162.71,26.66,82.89,208.22,285.77,28.45,-0.052842365205287935
